Unnamed: 0,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
1016,Co0.25 Cr1 Ni1,FCC,WROUGHT,FCC,1.78,,8.1,,T,25.0,395.0,644.0,58.0,,240.0,0.7986577181208053,,,
323,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,ANNEAL,BCC,,,8.7,,C,25.0,1575.0,1640.0,9.0,,,0.42953020134228187,,,
578,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,,11.0,,C,1000.0,752.8,1105.0,,,,0.7013422818791947,,,
769,Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,8.0,130.2,C,25.0,210.0,,57.0,,,0.738255033557047,,,
1130,Co1 Cr1 Fe1 Ni1 W0.2,FCC,CAST,FCC,,,8.9,244.0,C,25.0,335.0,,52.0,,,0.7986577181208053,,,
507,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-103.0,1250.0,,,,,0.33557046979865773,,,
179,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4,FCC,CAST,FCC,,,7.3,321.0,,25.0,,,,,,0.610738255033557,,,
212,Co1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,8.6,,T,25.0,,480.0,,15.0,,0.62751677852349,,,
306,Nb1 Ti1 V1 Zr1,BCC,OTHER,BCC,,,6.5,,C,1000.0,58.0,,50.0,,,0.33557046979865773,,,
748,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,WROUGHT,FCC,,,7.6,,T,700.0,180.0,185.0,5.0,,,0.6342281879194631,,,
751,Co1 Cr1 Fe1 Ni1 Ti0.2,FCC,WROUGHT,FCC,,,7.9,,T,-196.0,860.0,1580.0,46.0,,,0.7315436241610739,,,
1503,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.9,,T,25.0,1094.0,,,,105.3,0.35906040268456374,,,
196,Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 V1,BCC,CAST,BCC,,,7.2,597.0,,25.0,,,,,,0.5771812080536913,,,
966,Mo1 Nb1 Ti1,BCC,OTHER,BCC,,7.67,7.7,,C,1200.0,324.0,,,,,0.5939597315436241,,,
395,Cu1 Mn1 Ni1 Zn0.25,FCC,CAST,FCC,,,8.3,109.0,C,25.0,140.0,,65.0,,,0.5671140939597316,,,
232,Al0.1 Cr0.5 Cu0.5 Fe0.5 Ni1,FCC,,FCC,,,8.0,,,25.0,,,,,,0.6610738255033557,,,
1012,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,3.4,,8.2,,T,25.0,273.0,567.0,85.0,,210.0,0.7583892617449665,,,
62,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,395.0,,25.0,,,,,,0.6174496644295302,,,
1209,Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,12.1,,C,200.0,869.0,,,,,0.6644295302013423,90.0,5.0,
279,Al0.25 Nb1 Ta1 Ti1 V1,BCC,CAST,BCC,,,8.8,,C,25.0,1330.0,,,,,0.436241610738255,,,
828,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,160.0,,,,,,,,0.6342281879194631,,,
963,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,11.72,11.8,,C,1200.0,586.0,,,,,0.7449664429530202,,,
495,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-153.0,1550.0,,,,,0.33557046979865773,,,
1042,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,,,8.4,,T,800.0,187.0,,,119.5,,0.6778523489932886,,,
377,Mo0.333 Nb0.333 Ti0.333 V1 Zr0.333,BCC,CAST,BCC,,,6.9,,C,25.0,1418.0,2508.0,24.0,,,0.46308724832214765,,,
414,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,800.0,302.0,,,,,0.5234899328859061,,,
575,Mo1 Nb1 Ta1 Ti1 V1,BCC,CAST,BCC,,,9.4,,C,25.0,1400.0,2450.0,,,,0.5738255033557047,,,
81,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,,C,25.0,1051.0,,,,,0.6174496644295302,,,
431,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,,6.0,,C,400.0,1070.0,,,,,0.6342281879194631,,,
783,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,,,8.2,,T,20.0,446.0,664.0,63.0,,189.0,0.7583892617449665,,,
753,Al0.1 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,20.0,,8.0,,T,25.0,1403.0,,1.2,,,0.738255033557047,,,
