text,YS_Class
"Test temp=199.81666667, Solidus temperature=2597.1145, W=9.477881993810288e-07, Nb=0.0750180483080745, Hf=0.0390478755278633, Mo=1.815960214426351e-06, Re=9.357402384132088e-07, Zr=1.910038833796023e-06, Ta=0.8858922776793292, Ti=3.640114955485165e-06, C=1.4506817298660264e-05, Y=1.95984159168613e-06, Al=6.457800000741557e-06, Si=6.203962278549728e-06, V=3.420421121761401e-06, Cr=0.0",1
"Test temp=298.15, Solidus temperature=2435.90337, W=5.833250048954991e-07, Nb=0.3333272541058718, Hf=6.008093949240214e-07, Mo=1.1176494934860715e-06, Re=5.759099759943964e-07, Zr=1.17555104906591e-06, Ta=0.3333213348524453, Ti=0.3333273253110241, C=8.928354749811722e-06, Y=1.2062026165880937e-06, Al=3.974512680688398e-06, Si=3.818285909098595e-06, V=2.105129784163964e-06, Cr=0.0",1
"Test temp=2199.816667, Solidus temperature=3474.90233, W=0.950272782391381, Nb=1.977043044285809e-06, Hf=0.0044250301030854, Mo=1.914329466897073e-06, Re=0.0438960731847914, Zr=2.0135042570899565e-06, Ta=1.0150984490604375e-06, Ti=3.8372973520123305e-06, C=0.0013763376997243, Y=2.0660047943838813e-06, Al=6.807614359906385e-06, Si=6.540026431745e-06, V=3.605702862082472e-06, Cr=0.0",0
"Test temp=1922.038889, Solidus temperature=2905.40539, W=0.9152974236604224, Nb=1.8981100853715755e-06, Hf=0.0022723796000265, Mo=1.8379003321872228e-06, Re=0.0383553504614286, Zr=1.9331155931921866e-06, Ta=9.74570892310891e-07, Ti=3.684094195862787e-06, C=0.0440462584813997, Y=1.9835200594040103e-06, Al=6.5358220253249455e-06, Si=6.278917479602073e-06, V=3.4617460591730524e-06, Cr=0.0",1
"Test temp=2427.5944440000003, Solidus temperature=2971.19493, W=0.9526097050171756, Nb=1.9657835791742983e-06, Hf=0.0021487537454731, Mo=1.90342716211076e-06, Re=0.0377612157108718, Zr=2.0020371415913294e-06, Ta=1.0093173581504651e-06, Ti=3.815443545752344e-06, C=0.0074507184864056, Y=2.054238682882256e-06, Al=6.768844290332267e-06, Si=6.50278030316453e-06, V=3.5851680104537054e-06, Cr=0.0",0
"Test temp=296.15, Solidus temperature=2024.63867, W=5.509456797827363e-07, Nb=0.1999968251007704, Hf=0.1999922634453534, Mo=0.1999967561813467, Re=5.439422458406947e-07, Zr=0.1999968147129877, Ta=5.597515360293707e-07, Ti=0.1999967654017045, C=8.432757786300745e-06, Y=1.1392484720775769e-06, Al=3.7538946081340367e-06, Si=3.6063397045186392e-06, V=1.9882778043688986e-06, Cr=0.0",1
"Test temp=533.15, Solidus temperature=3664.57714, W=0.9802037574244844, Nb=1.9791997836092058e-06, Hf=1.0301993791916332e-06, Mo=1.916417792516046e-06, Re=0.0197500939483386, Zr=2.0157007716381067e-06, Ta=1.0162058112640758e-06, Ti=3.841483426826721e-06, C=1.5309323719250243e-05, Y=2.068258581318492e-06, Al=6.81504072810356e-06, Si=6.547160890563267e-06, V=3.6096362924514326e-06, Cr=0.0",0
"Test temp=1873.15, Solidus temperature=3076.06631, W=0.2499869952822147, Nb=0.2499937510547088, Hf=7.754361978249741e-07, Mo=0.2499937093440322, Re=7.432996984526879e-07, Zr=1.517227998660217e-06, Ta=0.2499937618719857, Ti=2.891503686251064e-06, C=1.152340412536672e-05, Y=1.5567885234748857e-06, Al=5.1297150599815535e-06, Si=4.928080573597751e-06, V=2.7169911947975552e-06, Cr=0.0",1
"Test temp=2199.816667, Solidus temperature=2995.02721, W=0.94872336493484, Nb=1.964586285734677e-06, Hf=0.0075671871815725, Mo=1.9022678478921776e-06, Re=0.0357777897726282, Zr=2.0008177673118307e-06, Ta=1.0087026164951724e-06, Ti=3.813119685905832e-06, C=0.0079020691035494, Y=2.052987514379025e-06, Al=6.764721612256974e-06, Si=6.4988196758204215e-06, V=3.5829844037818767e-06, Cr=0.0",0
"Test temp=1755.372222, Solidus temperature=2869.3432, W=0.0474968002872111, Nb=1.8797012142332737e-06, Hf=9.784090721946212e-07, Mo=0.0455018851735325, Re=9.378607425930172e-07, Zr=0.009571836101027, Ta=0.8872261671026315, Ti=3.648363910335261e-06, C=0.010177784090185, Y=1.964282837361297e-06, Al=6.472434181609059e-06, Si=6.218021231454592e-06, V=3.428172222961985e-06, Cr=0.0",0
"Test temp=297.03888888999995, Solidus temperature=2809.27413, W=0.0196800410511077, Nb=1.947109954577746e-06, Hf=0.040539848135309, Mo=1.885345881623584e-06, Re=9.714937534130449e-07, Zr=1.9830191324846844e-06, Ta=0.9397357521508538, Ti=3.7791993929384097e-06, C=1.5061105431836056e-05, Y=2.034724794170269e-06, Al=6.704544812724834e-06, Si=6.4410082548568775e-06, V=3.5511113206674884e-06, Cr=0.0",1
"Test temp=1073.15, Solidus temperature=1723.04027, W=6.434114901834956e-07, Nb=0.199996131668207, Hf=0.1999961567155306, Mo=1.2327750740524634e-06, Re=6.352326623345731e-07, Zr=0.1999960948350532, Ta=0.1999909342642716, Ti=0.1999960751282355, C=9.848036662670376e-06, Y=1.3304497775493272e-06, Al=4.383914807651774e-06, Si=4.211595604683336e-06, V=2.321972622622692e-06, Cr=0.0",1
"Test temp=2755.372222, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=1755.372222, Solidus temperature=2489.84962, W=0.048182627867274, Nb=1.9068430622567931e-06, Hf=9.925367591595794e-07, Mo=0.0461589072804568, Re=9.514029340593713e-07, Zr=1.9420096262210965e-06, Ta=0.905615877361218, Ti=3.701044271468722e-06, C=1.4749636678244387e-05, Y=1.992645997337558e-06, Al=6.565892558700721e-06, Si=6.3078060259704585e-06, V=3.477673137665623e-06, Cr=0.0",0
"Test temp=1273.15, Solidus temperature=2070.74491, W=4.3235964834778573e-07, Nb=0.1999925940668728, Hf=4.453190529007616e-07, Mo=0.0999992514139303, Re=4.268636396712097e-07, Zr=0.1999985578801855, Ta=0.0999992727618815, Ti=0.1999985814711039, C=6.61768360271892e-06, Y=8.940356315389475e-07, Al=0.1999985357173222, Si=2.830107982847268e-06, V=1.56031914553472e-06, Cr=0.0",1
