text,YS_Class
"Test temp=810.9277778, YS=875.6325928, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",1
"Test temp=810.9277778, YS=854.9483584, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",1
"Test temp=1088.7055556, YS=820.4746342, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",1
"Test temp=1088.7055556, YS=792.8956549, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",1
"Test temp=1366.483333, YS=627.4217791, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",1
"Test temp=1366.483333, YS=641.2112688, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",1
"Test temp=1644.2611109999998, YS=357.8372564, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=1644.2611109999998, YS=391.6215061, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=1783.15, YS=82.73693791, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=1783.15, YS=102.0422234, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=1783.15, YS=253.0371351, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=1783.15, YS=170.9896717, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=1922.038889, YS=111.0053917, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
